Date,Open,High,Low,Close,Adj Close,Volume
2012-05-21,68.277779,69.233330,67.688889,68.022224,36.154888,3044056
2012-05-22,68.333336,69.322220,67.577774,68.188889,36.243465,5089144
2012-05-23,68.900002,69.888885,67.866669,68.833336,36.586010,2897667
2012-05-24,70.933334,72.822220,67.477776,68.066666,36.178516,14310904
2012-05-25,68.033333,68.033333,66.222221,66.822220,35.517071,4495050
2012-05-28,66.888885,67.288887,65.900002,66.155556,35.162724,2978410
2012-05-29,66.211113,66.211113,65.088890,65.599998,34.867443,3303013
2012-05-30,64.444443,65.522224,64.077774,64.377777,34.217815,3814128
2012-05-31,64.022224,65.433334,63.188889,64.544441,34.306400,4109854
2012-06-01,64.477776,66.666664,64.222221,66.044441,35.103676,2272779
2012-06-04,65.800003,69.122223,65.555557,68.966667,36.656876,6846678
2012-06-05,68.888885,68.888885,67.666664,67.955559,36.119461,1455723
2012-06-06,67.577774,68.233330,66.333336,66.788887,35.499352,2885233
2012-06-07,66.544441,66.733330,65.288887,65.599998,34.867443,4098199
2012-06-08,65.800003,67.677780,65.800003,67.377777,35.812359,3251565
2012-06-11,67.555557,68.333336,66.711113,67.555557,35.906857,3179061
2012-06-12,67.511108,68.222221,66.822220,67.933334,36.107643,2748577
2012-06-13,67.800003,68.877777,66.677780,67.000000,35.611557,2298325
2012-06-14,67.000000,67.566666,66.322220,67.255554,35.747398,2558164
2012-06-15,67.288887,68.111115,66.233330,66.544441,35.369427,1816785
2012-06-18,66.444443,67.555557,66.244446,67.122223,35.676529,2512336
2012-06-19,67.000000,71.555557,66.922218,71.122223,37.802589,16721793
2012-06-20,71.555557,72.122223,70.366669,71.666664,38.091972,9261751
2012-06-21,71.777779,76.466667,71.777779,74.688889,39.698322,22411372
2012-06-22,74.666664,76.466667,73.900002,74.188889,39.432568,7799805
2012-06-25,74.433334,75.066666,73.000000,73.133331,38.871529,4759353
2012-06-26,73.333336,75.555557,72.966667,75.144447,39.940468,5269743
2012-06-27,75.444443,75.544441,74.044441,74.677780,39.692425,3382168
2012-06-28,74.488892,75.599998,73.688889,74.711113,39.710133,6398077
2012-06-29,72.922218,74.822220,72.922218,74.488892,39.592026,2372616
2012-07-02,74.244446,74.488892,72.933334,73.911110,39.284935,2176951
2012-07-03,74.000000,77.822220,73.711113,77.066666,40.962158,7710993
2012-07-04,76.911110,76.911110,75.233330,75.800003,40.288902,3739702
2012-07-05,75.577774,76.322220,74.933334,75.922218,40.353867,3294544
2012-07-06,75.711113,77.333336,75.711113,76.566666,40.696396,2511747
2012-07-09,76.644447,77.444443,76.266663,77.222221,41.044834,2238511
2012-07-10,77.322220,78.077774,75.822220,76.455559,40.637337,3358210
2012-07-11,76.544441,77.322220,76.022224,76.322220,40.566475,1607202
2012-07-12,76.244446,79.000000,75.733330,78.800003,41.883457,4982481
2012-07-13,78.688889,79.244446,77.111115,77.877777,41.393265,3961350
2012-07-16,76.222221,77.744446,75.944443,76.211113,40.507420,1603867
2012-07-17,76.444443,77.733330,74.833336,77.277779,41.074360,3812872
2012-07-18,77.111115,77.533333,75.277779,76.633331,40.731831,3641971
2012-07-19,76.900002,78.400002,76.444443,77.599998,41.245628,8107969
2012-07-20,77.955559,77.955559,75.400002,75.877777,40.330250,3222841
2012-07-23,75.722221,76.344444,74.822220,75.199997,39.969990,2407752
2012-07-24,75.133331,77.277779,74.566666,76.933334,40.891289,4667737
2012-07-25,76.533333,76.633331,75.577774,76.044441,40.418831,3994029
2012-07-26,75.800003,76.566666,72.522224,73.944443,39.302643,4082688
2012-07-27,74.688889,75.544441,73.777779,74.322220,39.503437,2461441
2012-07-30,74.288887,75.288887,72.522224,74.322220,39.503437,1987389
2012-07-31,74.722221,77.333336,74.333336,76.377777,40.595993,3524391
2012-08-01,76.666664,76.666664,74.811111,75.088890,39.910923,2638440
2012-08-02,74.877777,74.911110,73.011108,73.466667,39.048695,2094259
2012-08-03,73.333336,74.555557,71.922218,74.288887,39.485733,4776381
2012-08-06,74.000000,74.777779,72.055557,73.000000,38.800659,4507609
2012-08-07,72.677780,72.677780,70.444443,70.822220,37.643139,5529636
2012-08-08,70.666664,72.066666,70.422218,71.566666,38.038807,2601558
2012-08-09,71.566666,71.666664,69.555557,69.777779,37.087994,1878408
2012-08-10,69.444443,71.966667,68.833336,71.511108,38.009285,4151785
2012-08-13,71.388885,72.133331,70.011108,71.533333,38.021099,1931319
2012-08-14,71.344444,71.844444,70.411110,70.699997,37.578175,1723176
2012-08-16,70.888885,70.888885,68.444443,68.733330,36.532860,3401140
2012-08-17,68.722221,69.722221,68.266663,69.166664,36.763176,3134673
2012-08-21,69.344444,69.622223,68.800003,69.333336,36.851768,2738173
2012-08-22,69.133331,71.277779,68.577774,71.011108,37.743530,3424644
2012-08-23,71.122223,71.333336,71.122223,71.122223,37.802589,3837775
2012-08-24,71.166664,72.000000,70.500000,70.866669,37.666756,1736397
2012-08-27,70.911110,71.000000,70.066666,70.300003,37.365562,1376239
2012-08-28,70.566666,70.888885,69.333336,69.722221,37.058468,1583554
2012-08-29,70.111115,70.733330,68.699997,68.933334,36.639160,1853608
2012-08-30,67.711113,69.555557,65.744446,68.255554,37.301022,9297778
2012-08-31,69.444443,70.555557,65.666664,66.188889,36.171604,1935153
2012-09-03,66.666664,66.666664,64.911110,65.266663,35.667625,2130007
2012-09-04,65.144447,67.044441,64.811111,66.788887,36.499500,4748004
2012-09-05,67.533333,68.088890,66.888885,67.500000,36.888119,2885121
2012-09-06,67.611115,68.888885,67.222221,68.688889,37.537834,2301165
2012-09-07,69.455559,69.777779,66.444443,67.344444,36.803108,7183953
2012-09-08,null,null,null,null,null,null
2012-09-10,67.777779,67.988892,66.944443,67.288887,36.772751,1018845
2012-09-11,67.977776,69.711113,67.788887,69.022224,37.719997,7699374
2012-09-12,68.555557,68.711113,67.777779,67.988892,37.155296,1851534
2012-09-13,68.166664,69.511108,68.000000,68.422218,37.392097,3470427
2012-09-14,71.377777,72.222221,66.122223,66.722221,36.463074,21741430
2012-09-17,66.666664,67.900002,63.700001,63.988888,34.969322,19491889
2012-09-18,64.322220,65.111115,63.466667,63.611111,34.762871,14442502
2012-09-20,63.066666,66.366669,63.055553,65.877777,36.001587,12717585
2012-09-21,65.555557,67.011108,65.233330,66.444443,36.311268,8303683
2012-09-24,66.077774,68.355553,66.077774,67.788887,37.045990,6840576
2012-09-25,67.777779,68.711113,66.944443,68.244446,37.294952,3042976
2012-09-26,68.444443,69.844444,67.800003,69.255554,37.847511,4493745
2012-09-27,69.733330,69.888885,67.244446,67.833336,37.070278,4888224
2012-09-28,68.111115,68.855553,67.000000,68.422218,37.392097,5461515
2012-10-01,68.655556,69.555557,68.099998,69.322220,37.883942,3337897
2012-10-03,69.311111,69.744446,68.822220,69.222221,37.829296,4769275
2012-10-04,69.777779,73.266663,69.777779,71.444443,39.043720,11737089
2012-10-05,71.555557,71.555557,68.222221,70.244446,38.387932,3348000
2012-10-08,70.666664,72.033333,69.511108,69.877777,38.187557,4692928
2012-10-09,70.211113,71.099998,69.177780,70.699997,38.636890,5764621
2012-10-10,70.333336,70.333336,68.511108,68.922218,37.665344,3576816
2012-10-11,68.722221,69.755554,68.722221,69.055557,37.738216,1487169
